Designator,Mid X,Mid Y,Rotation,Layer
R6,126.492,-97.3055,90.0,top
R4,133.985,-91.4396,180.0,top
R3,144.78,-98.298,0.0,top
R2,164.592,-99.06,0.0,top
R1,172.085,-115.062,-90.0,top
RJ1,108.612936,-98.551999,-90.0,top
R7,121.285,-104.14,0.0,top
J3,139.5222,-128.27,90.0,top
J10,166.365,-105.425,0.0,top
J5,159.5374,-128.27,90.0,top
C6,135.0137,-102.235,180.0,top
R9,121.285,-106.68,0.0,top
U5,123.825,-92.075,0.0,top
C3,145.961096,-109.729868,-135.0,top
J15,118.745,-80.01,-90.0,top
C1,140.081,-104.14,180.0,top
C5,154.888995,-99.68621,-135.0,top
U3,118.745,-114.935,90.0,top
C11,127.635,-86.36,90.0,top
C2,144.8181,-108.6104,-135.0,top
U2,138.264894,-98.424999,90.0,top
R8,115.316,-88.011,90.0,top
J14,106.68,-80.01,-90.0,top
D2,167.64,-99.06,180.0,top
R10,121.285,-101.6,0.0,top
C10,121.217182,-96.52,0.0,top
J1,119.507,-128.27,90.0,top
J6,169.545,-128.27,90.0,top
J9,149.5298,-80.01,-90.0,top
J2,129.5146,-128.27,90.0,top
SW3,167.64,-94.615,0.0,top
SW2,134.62,-115.062,0.0,top
C4,156.025376,-100.812584,45.0,top
J4,149.5298,-128.27,90.0,top
D5,145.415,-95.885,0.0,top
C7,145.415,-93.98,180.0,top
C9,146.378269,-113.085409,-45.0,top
SW1,130.556,-98.425,0.0,top
J13,105.41,-115.57,0.0,top
J16,130.81,-80.01,-90.0,top
J12,105.41,-127.0,0.0,top
Y1,143.337351,-113.54096,-45.0,top
U1,149.86,-104.14,45.0,top
J11,137.185,-91.415,90.0,top
J8,159.5374,-80.01,-90.0,top
C8,144.506976,-111.214116,-45.0,top
J7,169.545,-80.01,-90.0,top
D1,172.085,-118.11,90.0,top
