Designator,Footprint,Quantity,Value,LCSC Part #
U3,SOP-16_L10.0-W3.9-P1.27-LS6.0-BL,1,CH340C,C84681
F9,Fuse_0603_1608Metric,1,100mA,C207238
R12,R_0402_1005Metric,1,3.3K,C25890
U8,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,1,MAX487ESA+T,C9953
D2,LED_0603_1608Metric,1,LED,C72041
F2,Fuse_0603_1608Metric,1,100mA,C207238
U19,DIP-8_W7.62mm,1,MAX487ESA+T,C9953
D6,SOT-23,1,SM712_SOT23,C558433
R6,R_0402_1005Metric,1,1K,C11702
D9,LED_0603_1608Metric,1,BLUE,C72041
D7,LED_0603_1608Metric,1,BLUE,C72041
PSU1,CONN-TH_HAA420A-6AW-C2845788,1,Conn_02x03_Odd_Even,C2845788
D4,LED_0603_1608Metric,1,LED,C72041
C16,C0402,1,15pF,C1548
R3,R_0402_1005Metric,1,1K,C11702
U14,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,1,MAX487ESA+T,C9953
BUS1,Molex Micro-Fit 3.0 43045-0812,1,Conn_02x04_Top_Bottom,C277661
D8,SOT-23,1,SM712_SOT23,C558433
C14,C0402,1,1uF,C52923
F6,Fuse_0603_1608Metric,1,100mA,C207238
C2,C0402,1,1uF,C52923
R1,R_0805_2012Metric,1,10K,C17414
F8,Fuse_0603_1608Metric,1,100mA,C207238
D3,SOD-123_L2.7-W1.6-LS3.7-RD-1,1,DIODE,C8598
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24,C13738
C6,C0402,1,1uF,C52923
U2,TQFP-100_14x14mm_P0.5mm,1,ATmega2560-16A,C22460
SW1,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,1,SW_MEC_5E,C318884
PSU2,CONN-TH_HAA420A-6AW-C2845788,1,Conn_02x03_Odd_Even,C2845788
BUS3,Molex Micro-Fit 3.0 43045-0812,1,Conn_02x04_Top_Bottom,C277661
F5,Fuse_0603_1608Metric,1,100mA,C207238
R10,R_0402_1005Metric,1,3.3K,C25890
U20,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,1,MAX487ESA+T,C9953
C12,C0402,1,100nF,C1525
C8,C0402,1,100nF,C1525
R5,R_0402_1005Metric,1,1K,C11702
D1,LED_0603_1608Metric,1,LED,C72041
C1,C0805,1,4.7uF,C1779
R7,R_0402_1005Metric,1,1K,C11702
C17,C0402,1,1uF,C52923
C5,C0402,1,1uF,C52923
C13,C0402,1,10uF,C15525
D5,LED_0603_1608Metric,1,LED,C72041
C15,C0402,1,15pF,C1548
D11,LED_0603_1608Metric,1,BLUE,C72041
D10,SOT-23,1,SM712_SOT23,C558433
C4,C0402,1,1uF,C52923
U13,DIP-8_W7.62mm,1,MAX487ESA+T,C9953
R9,R_0805_2012Metric,1,120R,C17437
C19,C0402,1,1uF,C52923
R11,R_0805_2012Metric,1,120R,C17437
BUS2,Molex Micro-Fit 3.0 43045-0812,1,Conn_02x04_Top_Bottom,C277661
C18,C0402,1,1uF,C52923
R2,R_0402_1005Metric,1,1K,C11702
J2,PinHeader_2x03_P2.54mm_Vertical,1,AVR-ISP-6,C492420
R14,R_0402_1005Metric,1,3.3K,C25890
R13,R_0805_2012Metric,1,120R,C17437
R8,R_0402_1005Metric,1,1K,C11702
C3,C0402,1,1uF,C52923
C7,C0402,1,100nF,C1525
U7,DIP-8_W7.62mm,1,MAX487ESA+T,C9953
F3,Fuse_0603_1608Metric,1,100mA,C207238
J3,MICRO-USB-SMD_U254-051T-4BHJ25-F2S,1,USB_B_Micro,C381143
